timestamp,segment_id,segment_name,latitude,longitude,current_speed_kmh,free_flow_speed_kmh,current_travel_time_sec,free_flow_travel_time_sec,confidence
2026-02-20 11:39:18.411455,Segment 4,MOE,25.1182,55.2006,28,36,639,497,1
2026-02-20 12:02:11.913899,Segment 1,World Trade Centre,25.2262,55.287,14,42,153,51,1
2026-02-20 12:02:13.077296,Segment 2,DIFC,25.2136,55.2796,61,104,694,407,1
2026-02-20 12:02:14.240330,Segment 3,Business Bay,25.1872,55.2644,12,25,282,135,1
2026-02-20 12:02:15.404008,Segment 4,MOE,25.1182,55.2006,30,37,597,484,1
2026-02-20 13:33:18.974941,Segment 1,World Trade Centre,25.2262,55.287,9,53,239,40,1
2026-02-20 13:33:20.077821,Segment 2,DIFC,25.2136,55.2796,82,104,516,407,1
2026-02-20 13:33:21.189307,Segment 3,Business Bay,25.1872,55.2644,19,24,178,141,1
2026-02-20 13:33:22.298314,Segment 4,MOE,25.1182,55.2006,24,36,746,497,1
2026-02-20 14:24:57.870455,Segment 1,World Trade Centre,25.2262,55.287,19,55,113,39,1.0
2026-02-20 14:24:58.953114,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 14:25:00.024800,Segment 3,Business Bay,25.1872,55.2644,14,24,242,141,0.99
2026-02-20 14:25:01.091642,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-20 15:10:13.913432,Segment 1,World Trade Centre,25.2262,55.287,53,53,40,40,1.0
2026-02-20 15:10:15.042963,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 15:10:16.143066,Segment 3,Business Bay,25.1872,55.2644,19,30,178,113,0.998185
2026-02-20 15:10:17.255169,Segment 4,MOE,25.1182,55.2006,27,36,663,497,1.0
2026-02-20 15:55:27.242158,Segment 1,World Trade Centre,25.2262,55.287,19,52,113,41,1.0
2026-02-20 15:55:28.362745,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 15:55:29.490024,Segment 3,Business Bay,25.1872,55.2644,21,29,161,116,0.959128
2026-02-20 15:55:30.611072,Segment 4,MOE,25.1182,55.2006,25,35,716,511,1.0
2026-02-20 16:52:56.989193,Segment 1,World Trade Centre,25.2262,55.287,19,53,113,40,1.0
2026-02-20 16:52:58.063313,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 16:52:59.137394,Segment 3,Business Bay,25.1872,55.2644,20,29,169,116,0.972207
2026-02-20 16:53:00.209559,Segment 4,MOE,25.1182,55.2006,27,35,663,511,1.0
2026-02-20 17:45:42.628007,Segment 1,World Trade Centre,25.2262,55.287,25,52,86,41,1
2026-02-20 17:45:43.752816,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 17:45:44.876577,Segment 3,Business Bay,25.1872,55.2644,15,24,226,141,1
2026-02-20 17:45:46.004510,Segment 4,MOE,25.1182,55.2006,25,35,716,511,1
2026-02-20 18:27:38.593452,Segment 1,World Trade Centre,25.2262,55.287,33,53,65,40,1
2026-02-20 18:27:39.689510,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 18:27:40.765806,Segment 3,Business Bay,25.1872,55.2644,12,24,282,141,1
2026-02-20 18:27:41.834158,Segment 4,MOE,25.1182,55.2006,28,35,639,511,1
2026-02-20 19:23:14.114459,Segment 1,World Trade Centre,25.2262,55.287,40,53,53,40,1.0
2026-02-20 19:23:15.182803,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 19:23:16.240554,Segment 3,Business Bay,25.1872,55.2644,13,23,260,147,0.99
2026-02-20 19:23:17.301304,Segment 4,MOE,25.1182,55.2006,30,36,597,497,1.0
2026-02-20 19:55:14.690857,Segment 1,World Trade Centre,25.2262,55.287,44,52,48,41,1.0
2026-02-20 19:55:15.819510,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 19:55:16.940958,Segment 3,Business Bay,25.1872,55.2644,17,24,199,141,0.96
2026-02-20 19:55:18.072523,Segment 4,MOE,25.1182,55.2006,30,36,597,497,1.0
2026-02-20 20:42:17.420369,Segment 1,World Trade Centre,25.2262,55.287,40,53,53,40,1.0
2026-02-20 20:42:18.536850,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 20:42:19.647411,Segment 3,Business Bay,25.1872,55.2644,15,23,226,147,0.97
2026-02-20 20:42:20.760882,Segment 4,MOE,25.1182,55.2006,30,36,597,497,1.0
2026-02-20 21:11:11.021376,Segment 1,World Trade Centre,25.2262,55.287,53,53,40,40,1.0
2026-02-20 21:11:12.106023,Segment 2,DIFC,25.2136,55.2796,93,104,455,407,1.0
2026-02-20 21:11:13.185119,Segment 3,Business Bay,25.1872,55.2644,13,24,260,141,0.99
2026-02-20 21:11:14.281545,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-20 21:45:46.461829,Segment 1,World Trade Centre,25.2262,55.287,34,52,63,41,1
2026-02-20 21:45:47.580944,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 21:45:48.700752,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-20 21:45:49.833622,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-20 22:01:13.469620,Segment 1,World Trade Centre,25.2262,55.287,27,52,79,41,1.0
2026-02-20 22:01:14.543591,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 22:01:15.619507,Segment 3,Business Bay,25.1872,55.2644,15,24,226,141,0.96
2026-02-20 22:01:16.692756,Segment 4,MOE,25.1182,55.2006,31,36,577,497,0.999537
2026-02-20 22:46:41.703138,Segment 1,World Trade Centre,25.2262,55.287,32,52,67,41,1.0
2026-02-20 22:46:42.825791,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 22:46:43.946596,Segment 3,Business Bay,25.1872,55.2644,16,23,211,147,0.96
2026-02-20 22:46:45.078318,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-20 23:16:30.356656,Segment 1,World Trade Centre,25.2262,55.287,38,52,56,41,1
2026-02-20 23:16:31.474594,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 23:16:32.590231,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-20 23:16:33.707949,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-20 23:47:52.929895,Segment 1,World Trade Centre,25.2262,55.287,38,52,56,41,1.0
2026-02-20 23:47:54.049309,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 23:47:55.166045,Segment 3,Business Bay,25.1872,55.2644,17,23,199,147,0.96
2026-02-20 23:47:56.288959,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-21 00:58:32.129964,Segment 1,World Trade Centre,25.2262,55.287,33,52,65,41,0.99
2026-02-21 00:58:33.242045,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-21 00:58:34.361903,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1.0
2026-02-21 00:58:35.459998,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-21 03:28:24.406299,Segment 1,World Trade Centre,25.2262,55.287,50,52,43,41,0.99
